Title,Review,Username,Rating,HS,Spoiler,Episode,Helpfully viewed,Views
1.2.3 gone ?,"This show has nothing to do with the works of Tolkien, nay it completely disregards them and goes against them. Writing is awful, dialogues are bleak and cheesy af, bordering on nonsense. Casting and acting is bad just plain bad. Show just tries to make easy profit and get instant global audience by slapping names from Tolkiens beloved works on showrunners own original characters and story. Wanna see Galadriel we love from Tolkiens world? Elrond? Celebrimbor? Gil-Galad? You simply cant because they do not exist in this show, there are completely fundamentaly different characters who just happen to have same name and vague outward resemblance to Tolkiens characters.",vincdujardin,1,0.4444444444444444,No,Adrift,4,9
No logic whatsoever,"This episode is the lowest point in terms of logic.Towers held together with a single rope. Abandoning a castle to defend an open village. Orcs forgetting battering ram at home while assaulting castle, but bringing it for a tavern assaulting. Hiding the magic key under the floorboard. Numenorians galloping from their first step on soil until they magically teleport into a battle just in time. No one bothers to check the package with an extreme importance. That package is given to the stupid teenager, for what?Nearly every single action, dialogue and character are just laughable, what a shame.",ozguncirakman,1,0.8333333333333334,Yes,Udûn,5,6
Declined?,"First 10 minutes is the best of the series but they acted like the story had advanced to that point. At least the Elf gave a rousing speech.The fact they said a village was a defensible position, which looked like it was in a valley with zero walls or defenses, which is ridiculous. They had the tower. An Orc attacked the elf and did the I got you so I throw you away Got you again and threw you away again Got you, throw you away. No one fights like that.Time lines dont match.Horses charge to the village which looked like it is in a valley from the sea? These south lands are a long journey inland right or are these people coastal without thew ships? They have GPS satellites, makes no sense. Also pretty sure armor shouldnt be plastic.",carlstar-87626,1,0.5769230769230769,Yes,Udûn,15,26
I couldnt believe my eyes!,"Some short parts of the episode seemed to make it get a little better, but it sank again and again after a few seconds. The first really easily won battle between humans (helped by one elf) and orcs was hilarious. Reminiscent of Peter Jacksons fall of the tower in The Return of the King, this one made no sense... Was an entire stone tower secured by some ropes?The second battle is supposed to cause some surprise by the arrival of the army commanded by Galadriel?... or Elendil?... or the Regent Queen of Númenor? After the battle, this last one is introduced to the people as the Regent Queen... they must have wondered which kingdom it was! Why should they have known? They didnt even expect this saving army! Both stories were disconnected until that point and, why did the whole army go directly to that village in the first place?!Scenes of the tavern made into an improvised keep (with almost everything made of wood, really easy to make burn) and the arrival of the army show different times of the day: from the windows you could see it was night for the people inside the keep, but the sun was shining for the army arriving and, God, no, it was no meant symbolically! Symbolism is way ahead for the showrunners of this extremely absurd plot!And then, a guy who was no-one until Galadriel decided he should get the crown of the Southlands because she realized he was carrying some seal which made him the heir... is acclaimed as the king! These people have just seen him but accept him as the promised king. A guy who could just be a thief, who for sure has some skills as a smith and killed one orc! How brave a king!The whole Isil story is another nonsense: he does not know what he wants, but ends up fighting for the Southlands and even gets some recognition for just appearing in the battle -and, well, yes, helping his father Elendil getting up from the floor. And his companions are portrayed (including himself) as silly teenagers who appear to care more about hanging out together than anything else.How the orcs father takes care of them makes the audience more sympathetic with him than with the good guys or the harfoot who leave aside those who cannot keep on the road (a very Darwinian community for sure)... but, really, who are the good ones? Rambo-Galadriel? Her good intentions are questioned by many along the series to the point that she cannot be distinguished from the evil she allegedly fights against. Or is she just fighting for revenge and causing a lot of ruin around as a result of her loss (her brother´s death)?And the end? Water causing a volcano explosion which is seen from far away by a shocked Galadriel while approaching her in a setting that reminds of the terrible bad scene by Anne Heche in Volcano... Maybe Anne Heche was an elf and had that penetrating sight sense enabling her to find one person among hundreds running from destruction and we have just discovered it. Thank you RoP!And, by the way, where are the rings of power? Please, give us some hint after 6 awful episodes!I wasnt expecting a comedy, but this is what RoP turned out to be.",avaninaneyra,1,0.4805194805194805,Yes,Udûn,37,77
What was this ?,Time Travelling from Numenor. How they get there within a day. That makes no sense at all. And how does the bakery lady become a warlord leader of the southlands in a couple of a days time. And now the series should be over after all was hit by a pyroclastic flow. No way to survive that at all. All should be turned to ashes like in Pompeii. If they are still alive in the next episode after taking that hit. It will be the worst writing in the history of television. Its a fantasy show i get that but everything about this show screams lazy and even bad writing. There is no logic in this series. They should just add John Wick and let him clean up all the orcs and be done with the series. Not following any source material anyways.Nice visuals though.,rickardbjorn-johansson,1,0.44155844155844154,Yes,Udûn,34,77
Boring,"Boring. Its hard to watch, because its just boring. Theres something wrong with all these reviews. You have no emotional attachment with the characters, the acting is bad, script is completly predictable ... I dont understand how this show is a 6.9. Okay that 1 is too low. Maybe a 5 just because of the landscape. But thats just it: some landscapes are nice. Im only still watching because (1) my husband makes me watch it and (2) because of all the expectations that was built on this. And dont get me wrong. Im a huge fan of Lotr, game of thrones, house of dragons, and so on. I think Amazon got ripped off. Just sad.",vjaniszewski,1,0.3870967741935484,No,Udûn,60,155
Its the last episode I forced myself to watch,"Im so done with this nonsensical nothing-burger show.Numenorians reaching Middle-Earth in two minutes, no sense of time and space. They teleport themselves where the humans inexplicably decided to defend a tavern because apparently the fortified tower they had wasnt good enough (I guess King Theoden can learn something from them. Why take the people to Helms Deep when you can die faster and easier at Edoras?)
Galadriel un-ironically lecturing Isil (not Isildur) about humility and then side-saddling TWICE just in case you didnt realise the firs time how tough she is. Orcs exploding before the swords even touched them and more sad death scenes about people we dont even care about. What writer what have this nonsensical show on his resume? The only good thing about this episode was that we didnt see Harfoots and dwarves.",Flak36,1,0.4117647058823529,Yes,Udûn,35,85
Worst episode yet,"And here we go, the moment they added some action this serie went form bad to worse. Absolutly unfaithfull of the original material, thw whole adar story line is dragged and unnecessary. There are SO manu things that happens during the second era and they decided to made up new things that dont work. Thw worse part is the characters development. Galadriel in primis is the most cringe protagonista one could ever imagined. Horrible acting and a characters that has nothing in common with the Galadriel talkien wrote about.Even the action sequences does not pay. This serie really need to stop setti g things up and start actually making things happen... Not new things to. And surly not like this..",cmesseri,1,0.4,No,Udûn,12,30
Clunky and lightweight dialougue,"Dear me. Where to start?Firstly, what is good? The visual set pieces and some decent actors.What is bad? Just about everything.The dialogue is laughably bad and attempting to create tolkien-esque writing which it fails at miserably. Conversations are left at awkward end points with no resolution as the writers attempt to write profound quotes, often using immediate contradictions.All characters that are introduced are devoid of love and life and instead come across as 2 dimensional. It is hard to be endeared to anyone in this show.I am, as a LOTR fan, already feeling like Hobbits and Gandalf are not needed in this show.What a shame.",chrisjones0,1,0.6666666666666666,No,A Shadow of the Past,2,3
Nothing Tolkien but the name.,"If a visually stunning show or generic feeling fantasy is what youre looking for, this will be right up your alley. If youre looking for another Tolkien adventure into Middle Earth, this misses the mark entirely. The characters are nothing like written in the books and have all been reinvented. Not for the better. The Hobbits are awkward. The Elves are way to into politics and the humans are bland. The Dwarfs almost had something going for them, but are used as comedic relief. Plot is rushed with only a few minute explanation of why were at the point we are in the story.Do better Amazon. Do better by J. R. R. Tolkien.",bradhood-79976,1,0.42857142857142855,No,A Shadow of the Past,6,14
"I didnt have a lot of expectations, and somehow...","I didnt have a lot of expectations this was going to be LOTR good, or that it would live up to the hype. Honestly was incredibly disappointed by Episode 1 and wont be continuing further.What made this world great was the characters, their interactions, and the limitless world. By myopia takes over this attempt by Amazon to build a new world.Character arcs are incredibly important, and you need more than eye popping scenery to build a world, especially one based upon Unfinished tales and the appendices. These did not have dialogue and didnt have a lot more beyond facts and places. Fleshing out the characters was priority 1 and this failed miserably in that attempt.",higherquality-44082,1,0.375,No,A Shadow of the Past,12,32
How NOT to Write a Screenplay,"Who wrote this garbage?? I never thought I would be bored by Middle earth, but this series succeeded in doing just that. The screenplay is poorly structured and very weird at many parts. At one point Galadriel insults Elrond - out of nowhere. The reason she insults him is even more hilarious: for trying to hit on her a few seconds prior. What made it worse than the fact this is all manufactured, is that no such flirting was even shown on screen. So the viewer is left wondering, did i just miss something! The show is filled with many moments like this. Is it just bad scripting or bad editing? Maybe both? Either way the whole show feels like some cheap CW teen drama.",dracharon,1,0.4375,No,A Shadow of the Past,7,16
Im Glad Tolkien Or Christopher T Are Not Here To See This Adcraptation,"Say what you want about Peter Jacksons Lord Of The Rings &amp; Hobbit adaptations. He at least stuck to Tolkiens messaging and language throughout the six films.For the most expensive show ever created, this is a complete joke. Out of all of the law, stories, myths and incredible creations that came of out Tolkiens mind, you chose to start the show with a young girl, who by the way was royalty, getting bullied by lesser elves.Out of all the things I have watched in my life the most pointless monologue of all has to go to Finrod comparing boats to stones. Absolutely ridiculous. There was literally an infinite number of ways you could have started the show with a bang and you chose the worst possible one with extremely high definition but dull scenes that vaguely in a boring way explained the 1st age. The trees of Valinor were just kind of faded away. You could have had a huge dark spider sucking them dry LIKE THE BOOK. Even that one small tweak would have made the first 10 minutes of your show more exciting.I have no issue with new character or minority actors playing characters, more the merrier. But for the love of god make the characters interesting and give them a good opening!Galadriels character has been completely made up by people in 2022 who cant even dream of having the talent of JRR Tolkien. There are none who can! Its not their fault. But what is their fault is deciding to make stuff up and change beloved characters personalities, wants and desires.I honestly never thought that I would be wanting Galadriel to get squashed by a troll. The character they have created is the most unlikable character I have seen in years.Poor. Very Poor.With the choice of GOT or Witcher I wont be continuing with Ring Of Power.As a life long Tolkien fan. I will also be cancelling my prime account.As someone who has done most of my shopping on Amazon for the past 4 years. I will be supporting businesses locally or just finding products elsewhere.They really messed it up.",mjallen-87627,1,0.4375,Yes,A Shadow of the Past,7,16
Very slow,"I was really looking forward to this show, more than many other shows that have been advertised this Autumn. Unfortunately, this episode was very slow, the CGI that everyone is raving about looks like a video game and there are plenty of shows with POC in lead roles for me to watch so theres nothing special here. I like female-led shows, but so far I have zero interest in Galadriel and Elanor Nori Brandyfoot -who have a lot of screen-time. I have watched this episode twice so far, the firtst time I needed a coffee and I had to remind myself to stop looking at t my phone. The second time was hard but I thought it was only fair that I give the eposide a chance.",thermal_socks,1,0.5263157894736842,No,A Shadow of the Past,10,19
Unbelievably badly written,"Ill not write so much, because its not worth it.Crazy battles in which a character comes from one site to save the day when he was actually at the opposite side before. Nonsense.Volcano eruption with cold ashes. Do you have any idea of the temperature volcanic ashes like that reach? Thousands of degrees F. Even if they get colder along they way they would absolutely burn everybodys skins and lungs. But... important characters cant die, right?Harfoots are horrible and evil!!! If your foot is broken, we leave you behind. If some problem coms up in the forest, we find someone to blame and basically sentence them to death. Isnt it supposed to be a tribe? Dont tribes exist to support its members? Why would anyone be part of a tribe which does not care for the wounded? This writing makes absolutely no sense.",jonasarjunior,1,0.6956521739130435,Yes,The Eye,48,69
Painfully Boring,"I am writing this from the perspective of someone who has only seen the movies. Yes Ive read the books, but I recognize most causually wathcing this havent read LotR let alone the Similrilian, so taking that perspective wont matter to most. To be blunt, There is just too much dialogue. From Galadriels never ending 17-minute naration and intro, to every side character needing to have a line, the show just never lets up on the exposition. Amazon needs to learn how to show, not tell. Which is sad because this is a SHOW not an Audiobook. Yet its like the creators are scared to go a full 15 seconds without someone talking becuase they know their audience will lose interest. The only action scene we get is about 5 seocnds with Galadriel killing a troll and thats it. The rest is just boring dialogue between far too many characters to keep track of.I perosnally cannot stand this Galadriels accent. While this chick does look somewhat like a younger Cate Blanchett, why not find a skinny blonde that also sounds like her, or at least have Blanchett dub over her? Blanchett set the image of Galadirel toughout both the LotR trilogy AND the Hobbit Trilogy, so it seems very odd that suddenly Gladariel now has a french/swedish accent. Does she just magically lose her accent by the Third Age/Hobbit movies?Likewise, Elrond just doesnt look like Elrond. I do not understand why the show didnt bother to cast someone that resembled a younger Hugo Weaving. Its as if the creators are trying their damndest to pretend the prior movies didnt exist and hope we are too stupid to remember them.Then theres Morgoth, or rather the lack their off. The entire setting of events is based of Morgoths reign and wars on Middle Earth as well as his evil that still lingers, yet he barely gets a mention. The intro does a very poor job of explaining who Morgoth was or why we should care, instead trying to shift the focus on Sauron. And yet, throughout this episode and the next, there are regular callbacks to Morgoth and the 1st Age such as the Silmarils and Feanor. The show wants us to fear Morogoth and see him as the great evil threat, but how can we fear him if we never see him nor the damage he does beyond one tree being destoryed? Contrast that from the 5 minute intro of Fellowship of the Ring where we see Saurons army fighting the Last Alliance of Men and Elves, we see Sauron tall, dark and powerful giving us a face to associate all the evil in Middle Earth with, and we see his defeat setting the stage for the rest of the movies. How hard would it be for Rings of Power to do that with Morgoth?I think they shouldve dedicated the 1st episode to Morogth and the War between his forces lead by Sauron vs the Elves/Valor. It wouldve done such a more impactful job for us to understand why Morgoth is the supreme bad guy, why we should also fear Sauron, why the elves had to fight, and the toll the war had. But most importantly, it would set the stage for why Galadriel is so wary and refuses to return to Valinor like the the rest of her Elves do.",ShadowsBeneathTheLight,1,0.55,No,A Shadow of the Past,11,20
A Terrible beginning to a tepid idea.,"A Shadow of the past.Lets look at this opening. Elf children running about like human children, being mean? I dont recall elves even thinking such until Feanor drew his sword on his half brother. Whats with these haircuts? They look like they just came out of Supercuts. And everyone running around in gossamer robes like they were angels or something? Morfydd Clark. Where did the casting directors find her? Unemotional and unitone. At least they mentioned Morgoth-who the elves knew as Melkor until Feanor renamed him Morgoth, the great enemy of the world. They didnt all sail. Feanor burned the ships he stole at the kinslaying. Nice shot of the end of the Great War of the jewels (which got a mention!) They left out that, in the early battles, the elves swept through the orcs like they didnt exist. Galadriel was never mentioned as a warrior-not once. She didnt believe the Eldar could defeat Morgoth and took no part in the wars of the first age. She did become close with Melian, Thingols wife and learned wisdom from her. She wasnt a captain of any army and there was no army of the north, unless you count Angband, under Sauron. Describing her in a footnote as an Amazon, doesnt make her an Amazon. Fingolfin gave his life to save Beren. This isnt mentioned. His body was never recovered. Also, Galadriel would have obeyed Gil-Galad, the last High-Elven king in middle-earth. Galadriel never hunted Sauron. Galadriels strength came from knowledge and from having seen the light of the two trees since she was born in Valinor. This is left out. NOWHERE is she mentioned as a WARRIOR. NOWHERE. She took no part in the kinslaying, marching across the ice of the frozen north back to Middle-Earth. Where is Celeborn? Galadriel had little interaction with men, other than the survivors of Numenor and, later, the Dunedain. This isnt the Elrond from the books, who was born IN THE FIRST AGE, and is called Half-Elven because he is a descendant, with his brother, of Earendil. Elros chose to be mortal, and be the first king of Numenor, Elros Tar-Minyataur. But thats left out as well. Galadriel is entirely brave, her male companions are cowards and buffoons. Commander of the Northern armies? Warrior of the Wasteland? Who wrote this drek. And, while Numenor exists, Sauron is off in Mordor, plotting. He can still appear fair and wont lose this ability until the destruction of that land. Whats all this Harfoots nonsense? Hobbits (who shouldnt even be in this as they played no part in the second age), are descended from the Fallohides, Harfoots and Stoors. Or were the writers simple minds too small to recall this? Galadriel chose to remain in middle-earth after the war of wrath and, with Celeborn, founded Laurellindorian, later known as Lorien. And Elrond, by the second age is wise, and he grew up with the evil Galdriel claims he didnt grow up with. WRONG. His father is Earendil, who with a Silmaril upon his brow, reached the blessed realm and got the Valar to come defeat Morgoth. Guess making Galadriel a super-warrior was more important than Elrond being the loremaster he is in the books. Ooops. Elrond and Galadriel are friends eh? Theyre also relatives since shes his MOTHER IN LAW. Making her a warrior was a ridiculous idea. Men enslaved by Elves? Where the hell did this absolutely, untrue, stupid idea come from? From being high? Elves and Men wed only three times in all of Middle-Earths history. THREE TIMES. No other relationships. No torrid affairs, NONE. Another ridiculous idea. Oh, did I mention that the first episode was boring as hell? BORING. And the men who followed Morgoth, the Easterlings, those who werent killed, returned east. Hobbits arent even mentioned in the Chronology until the third age when two brothers found the shire. And why are these harfoots so untidy? Hobbits arent bums. So, Galadriel (Morfydd Clark needs to go back to acting school) comes back from almost reaching Aman as a meteor? Im really gagging now. Just choking on how silly this is.",mhorg2018,1,0.4827586206896552,Yes,A Shadow of the Past,70,145
"I dont expect much from this show, but... (Commenting on ep1/2)","Please, writers, when you do comment on something that IS in Tolkiens known writings, please be accurate. Please. Its really annoying to watch when you get basics wrong.Finrod Felagund did not vow to hunt Sauron down, and was not killed while doing so. Finrod was captured by Sauron while assisting Beren in his quest to wrest a Silmaril from Morgoths crown, and was then killed in a dungeon by a warewolf. So... Galadriels opening remarks are both inaccurate and really annoying. Yes, you could argue it was all part of the war (obviously due to copyright the produces have Galadriel lumping the entire events of the fulirst age into one war), but still ... not accurate. Galadriel I did not mind overall but - where is Celeborn? If he was in her life (which he was) from the first age, why did he have no influence on her decisions, either to stay and fight or go into the West? I guess, according to this adaption, they are estranged at this point.Also, I hate the short haired, old looking elves. Gil-galad, Elrond and Celebrimbor all look fusty - not elven, not like warriors, and not wise. Celebrimbor is downright weedy. Also, their attitude towards the possible return of the shadow was un-elven. Some of the elves came off as whiny cowards. Actually, generally, there were a lot of whiny characters in this episode. Characters were either gung-ho adventurers or else whiny scared and annoying.Now to men: ugh. Seriously annoying accents. We get it. Outside of Numenor, men are dirty, backwards elf haters. Not one likeable character there. Even Bronwyn was kind of annoying. And her relationship with an elf... Sigh. Please. Over done already dont you think? Must there be an impossible/frowned on relationship in every tolkien-esque adaption? Not original, precious. Not original at all.I did love the music. Very Tolkien-esque. Also the effects are fantastic.Overall though, the pacing was off. Either too fast through big scenes, or too slow when it came to certain characters. I.e. Why did we have to spend soooo long with Harfoots. I dont mind having Hobbits in the show - I mean they mustve been around somewhere in middle-earth during the second age - but aside from Nori, they came off a little annoying, especially Noris sidekick friend.Meteor man is interesting. Hes obviously a good guy, possibly one of the Maier sent to help. Lets hope he can learn to talk before the season ends.Halbrand is interesting and mysterious. I think hes definitely a villan, or will become one.The Dwarves and the Khazadum scenery were awesome. However - its doubtful that Elrond was ever so close with prince Durin. Galadriel and Celebrimbor loved the Dwarves due to their shared love of creating things from metals and gems, but Elrond? Again... sigh. I guess if its not mentioned the producers have decided they can put it in. So I foresee many more forays off-lore with additions.Arondir is an ok character. Still - long hair wouldve made him more elven.I think that covers my opinion so far.Im hoping in future episodes the characters improve and grow on me. Well see.",mickenrach-61172,1,0.5569620253164557,Yes,A Shadow of the Past,44,79
What an awful show,"The first episode felt like it took three hours to play out. An episode where nothing really happens and these idiot characters played by apalling actors with terrible lines just wander about for no reason and no script direction. The build up has been better than the end result for this show.In fact! Rather than what I have just watched! I would have rather watched the story they skipped over in the first 6 minutes of the episode. The north of the elves, sailing to middle earth! Fighting Morgoth and then defeating them (none of which appeared on screen) Then Morgoth was defeated, once again not on screen. Sauron then took the lead, but as powerful as he was decided to disappear! Then hundreds of years passed as Galadriel searched for Sauron! That would have been a great episode or even first season.But no the highly intelligent writers skipped over the best part of the show with a couple of clips and a voiceover... skipping hundreds of years and a great story idea in 8 mins or less.Then skip to elves struggling up a mountain. Elves dont struggle they run and skip and jump! Do the writers of this show actually know anything about these characters. What a way to burn more than £50 million per episode or whatever it breaks down to!!",Lokii321,1,0.6551724137931034,Yes,A Shadow of the Past,19,29
It looks expensive,"The visuals are very nice, but that is all good i can say.Story is boring, characters are unlikeable and the dialogue is really bad.I was zero invested in anything and this is supposed to be the pilot of a series, i surely wont continue watching.I guarantee that this wont last the promised 5 seasons, i cant see many people liking this and it already shows.My girlfriend fell asleep while watching and she is a lord of the rings fan.It tries also very hard to be like game of thrones yet it fails completely in doing so.So much money wasted and i feel bad for the actors.They are already deleting reviews and covering up that this series is a huge fail.I started The Boys instead.Thanks but no thanks, i am out.",LouZephyr,1,0.5700934579439252,No,A Shadow of the Past,61,107
"Worst writing ever, nice cinematography","I really dont know how did the rights (some of them) of this amazing legendarium got to the hands of the writers of Rings of Power. Who do they bribe?! How can this be possible?! Nothing makes sense and most certainly nothing is Tolkien like.Millions of dollars wasted in what? Only the visuals?Because if i give 1 star is only for that, cant imagine being in the mind of the people that give this show 9 or 10 stars, this episode was the worst, by far!Amazon should ve got Andy Serkis to read what they get the rights of and no more, that would ve been 10000 times better than this money wasting machine!Man im angry! You even made me write a review! Although this is more like a bad comment on restaurant on Tripadvisor...I hope someone can enjoy this show and then that leads them to read Tolkiens work and then realize how bad the show was!",faca_ika,1,0.5,No,Udûn,3,6
Worst episode so far,"CGI was not on par with earlier episodes, and it was entirely elf/human centric, which for me has been the worst parts of the show so far. More dwarves and hobbits please.Like many have said before, this series feels like fan fiction, and this episode has been the worst of them. Isildur is on a ship, decides to feed an apple to horse, lets it take one bite, then decided to take two bites out of it himself, then goes topside and throws the remaining apple into the sea. It was the most bizarre, pointless, and poorly written series of events in the show thus far. His reason for moving topside could have been nothing more than wanting to see the water, or any other of a number of reasons to move him could have played out. Using his want to discard a half eaten apple by throwing it into the sea, was this shows writing at its most terrible.Nothing happens throughout the entire episode other than fighting and cowering. The plot did not move forward in the least, until the last minute where the dam was broken, unleashing water into the magma chambers of the volcano causing it to erupt and cover the town in ash. I guess we shall see where the next episode takes us. I cant imagine a way that it could be any worse than this last one.",jony-sea,1,0.391304347826087,Yes,Udûn,9,23
